"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CAN","Canada","DB1_GE","Statistical discrepancy","VPVOB","Constant prices, constant PPPs, OECD base year","2015","2015","USD","US Dollar","6","Millions","2015","2015",-693.086,,
"CAN","Canada","DB1_GE","Statistical discrepancy","VPVOB","Constant prices, constant PPPs, OECD base year","2016","2016","USD","US Dollar","6","Millions","2015","2015",1174.721,,
"CAN","Canada","DB1_GE","Statistical discrepancy","VPVOB","Constant prices, constant PPPs, OECD base year","2017","2017","USD","US Dollar","6","Millions","2015","2015",-298.447,,
"CAN","Canada","DB1_GE","Statistical discrepancy","VPVOB","Constant prices, constant PPPs, OECD base year","2018","2018","USD","US Dollar","6","Millions","2015","2015",1232.155,,
"CAN","Canada","DB1_GE","Statistical discrepancy","VPVOB","Constant prices, constant PPPs, OECD base year","2019","2019","USD","US Dollar","6","Millions","2015","2015",915.505,,
"CAN","Canada","DB1_GE","Statistical discrepancy","VPVOB","Constant prices, constant PPPs, OECD base year","2020","2020","USD","US Dollar","6","Millions","2015","2015",1136.413,,
"CAN","Canada","DB1_GE","Statistical discrepancy","VPVOB","Constant prices, constant PPPs, OECD base year","2021","2021","USD","US Dollar","6","Millions","2015","2015",1203.896,,
"CAN","Canada","P3_P5","Domestic demand","VPVOB","Constant prices, constant PPPs, OECD base year","1990","1990","USD","US Dollar","6","Millions","2015","2015",876178.468,,
"CAN","Canada","P3_P5","Domestic demand","VPVOB","Constant prices, constant PPPs, OECD base year","1991","1991","USD","US Dollar","6","Millions","2015","2015",861482.155,,
"CAN","Canada","P3_P5","Domestic demand","VPVOB","Constant prices, constant PPPs, OECD base year","1992","1992","USD","US Dollar","6","Millions","2015","2015",865035.363,,
"CAN","Canada","P3_P5","Domestic demand","VPVOB","Constant prices, constant PPPs, OECD base year","1993","1993","USD","US Dollar","6","Millions","2015","2015",879607.674,,
"CAN","Canada","P3_P5","Domestic demand","VPVOB","Constant prices, constant PPPs, OECD base year","1994","1994","USD","US Dollar","6","Millions","2015","2015",906423.883,,
"CAN","Canada","P3_P5","Domestic demand","VPVOB","Constant prices, constant PPPs, OECD base year","1995","1995","USD","US Dollar","6","Millions","2015","2015",921591.828,,
"CAN","Canada","P3_P5","Domestic demand","VPVOB","Constant prices, constant PPPs, OECD base year","1996","1996","USD","US Dollar","6","Millions","2015","2015",934524.143,,
