"REF_DATE","GEO","DGUID","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1985","Canada","2016A000011124","Both sexes","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1847822","","","","0"
"1986","Canada","2016A000011124","Both sexes","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1841112","","","","0"
"1987","Canada","2016A000011124","Both sexes","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1856948","","","","0"
"1988","Canada","2016A000011124","Both sexes","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1868395","","","","0"
"1989","Canada","2016A000011124","Both sexes","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1894973","","","","0"
"1990","Canada","2016A000011124","Both sexes","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1931287","","","","0"
"1991","Canada","2016A000011124","Both sexes","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1958442","","","","0"
"1992","Canada","2016A000011124","Both sexes","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1993416","","","","0"
"1993","Canada","2016A000011124","Both sexes","0 to 4 years","Persons","249","units","0","v466884","1.1.7","2013667","","","","0"
"1994","Canada","2016A000011124","Both sexes","0 to 4 years","Persons","249","units","0","v466884","1.1.7","2010454","","","","0"
"1995","Canada","2016A000011124","Both sexes","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1984881","","","","0"
"1996","Canada","2016A000011124","Both sexes","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1960594","","","","0"
"1997","Canada","2016A000011124","Both sexes","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1916724","","","","0"
"1998","Canada","2016A000011124","Both sexes","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1872025","","","","0"
"1999","Canada","2016A000011124","Both sexes","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1828176","","","","0"
"2000","Canada","2016A000011124","Both sexes","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1790699","","","","0"
"2001","Canada","2016A000011124","Both sexes","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1754354","","","","0"
"2002","Canada","2016A000011124","Both sexes","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1723292","","","","0"
"2003","Canada","2016A000011124","Both sexes","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1705276","","","","0"
"2004","Canada","2016A000011124","Both sexes","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1705030","","","","0"
"2005","Canada","2016A000011124","Both sexes","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1708245","","","","0"
"2006","Canada","2016A000011124","Both sexes","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1727509","","","","0"
"2007","Canada","2016A000011124","Both sexes","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1753475","","","","0"
"2008","Canada","2016A000011124","Both sexes","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1793552","","","","0"
"2009","Canada","2016A000011124","Both sexes","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1831631","","","","0"
"2010","Canada","2016A000011124","Both sexes","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1871905","","","","0"
"2011","Canada","2016A000011124","Both sexes","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1899812","","","","0"
"2012","Canada","2016A000011124","Both sexes","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1917338","","","","0"
"2013","Canada","2016A000011124","Both sexes","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1924654","","","","0"
"2014","Canada","2016A000011124","Both sexes","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1927705","","","","0"
"2015","Canada","2016A000011124","Both sexes","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1928878","","","","0"
"2016","Canada","2016A000011124","Both sexes","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1942791","","","","0"
"2017","Canada","2016A000011124","Both sexes","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1941838","","","","0"
"2018","Canada","2016A000011124","Both sexes","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1940483","","","","0"
"2019","Canada","2016A000011124","Both sexes","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1932784","","","","0"
"2020","Canada","2016A000011124","Both sexes","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1918870","","","","0"
"2021","Canada","2016A000011124","Both sexes","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1885110","","","","0"
"2022","Canada","2016A000011124","Both sexes","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1881155","","","","0"
"1980","Canada","2016A000011124","Both sexes","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1812578","","","","0"
"1981","Canada","2016A000011124","Both sexes","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1794717","","","","0"
"1982","Canada","2016A000011124","Both sexes","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1793041","","","","0"
"1983","Canada","2016A000011124","Both sexes","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1793547","","","","0"
"1984","Canada","2016A000011124","Both sexes","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1806123","","","","0"
"1985","Canada","2016A000011124","Both sexes","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1815949","","","","0"
"1986","Canada","2016A000011124","Both sexes","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1829447","","","","0"
"1987","Canada","2016A000011124","Both sexes","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1848603","","","","0"
